name,capital,lat,lng,date,week
Mauritius,Port Louis,-20.15,57.483332999999995,2020-03-29,13
Puerto Rico,San Juan,18.466666666666665,-66.116667,2020-03-30,14
Palestine,Jerusalem,31.766666666666666,35.233333,2020-03-30,14
Bolivia,La Paz,-16.5,-68.15,2020-03-31,14
Kosovo,Pristina,42.66666666666666,21.166667,2020-03-31,14
Nigeria,Abuja,9.083333333333334,7.533333,2020-03-31,14
Cameroon,Yaounde,3.8666666666666663,11.516667,2020-03-31,14
Belarus,Minsk,53.9,27.566667,2020-03-31,14
Kyrgyzstan,Bishkek,42.86666666666667,74.6,2020-04-01,14
Montenegro,Podgorica,42.43333333333333,19.266667,2020-04-01,14
Georgia,Tbilisi,41.68333333333333,44.833333,2020-04-01,14
Kenya,Nairobi,-1.2833333333333332,36.816666999999995,2020-04-03,14
Guernsey,Saint Peter Port,49.45,-2.5333330000000003,2020-04-04,14
Isle of Man,Douglas,54.15,-4.483333,2020-04-04,14
Jersey,Saint Helier,49.18333333333333,-2.1,2020-04-04,14
Trinidad and Tobago,Port of Spain,10.65,-61.516667000000005,2020-04-05,14
Rwanda,Kigali,-1.95,30.05,2020-04-05,14
Guinea,Conakry,9.5,-13.7,2020-04-05,14
Paraguay,Asuncion,-25.266666666666666,-57.666667000000004,2020-04-05,14
Niger,Niamey,13.516666666666667,2.1166669999999996,2020-04-05,14
Gibraltar,Gibraltar,36.13333333333333,-5.35,2020-04-06,15
Guam,Hagatna,13.466666666666667,144.73333300000002,2020-04-06,15
Bangladesh,Dhaka,23.716666666666665,90.4,2020-04-07,15
Djibouti,Djibouti,11.583333333333336,43.15,2020-04-08,15
El Salvador,San Salvador,13.7,-89.2,2020-04-09,15
Guatemala,Guatemala City,14.616666666666667,-90.516667,2020-04-10,15
Madagascar,Antananarivo,-18.916666666666668,47.516667,2020-04-11,15
Mali,Bamako,12.65,-8.0,2020-04-12,15
Jamaica,Kingston,18.0,-76.8,2020-04-15,16
Tanzania,Dar es Salaam,-6.8,39.283333,2020-04-18,16
Somalia,Mogadishu,2.066666666666667,45.333333,2020-04-18,16
Gabon,Libreville,0.38333333333333336,9.45,2020-04-18,16
Ethiopia,Addis Ababa,9.033333333333333,38.7,2020-04-19,16
Myanmar,Rangoon,16.8,96.15,2020-04-19,16
Liberia,Monrovia,6.3,-10.8,2020-04-22,17
Sudan,Khartoum,15.6,32.533333,2020-04-22,17
Maldives,Male,4.166666666666667,73.5,2020-04-24,17
Equatorial Guinea,Malabo,3.75,8.783333,2020-04-25,17
Cape Verde,Praia,14.916666666666664,-23.516667,2020-04-27,18
Bermuda,Hamilton,32.28333333333333,-64.783333,2020-04-27,18
Sierra Leone,Freetown,8.483333333333333,-13.233332999999998,2020-04-29,18
Togo,Lome,6.116666666666666,1.216667,2020-04-30,18
Zambia,Lusaka,-15.416666666666664,28.283333000000002,2020-05-01,18
Guinea-Bissau,Bissau,11.85,-15.583332999999998,2020-05-01,18
Swaziland,Mbabane,-26.316666666666666,31.133333,2020-05-02,18
Chad,N'Djamena,12.1,15.033332999999999,2020-05-03,18
Tajikistan,Dushanbe,38.55,68.766667,2020-05-05,19
Sao Tome and Principe,Sao Tome,0.3333333333333333,6.733333,2020-05-05,19
Haiti,Port-au-Prince,18.53333333333333,-72.333333,2020-05-06,19
Benin,Porto-Novo,6.4833333333333325,2.6166669999999996,2020-05-07,19
Aruba,Oranjestad,12.516666666666667,-70.033333,2020-05-07,19
Nepal,Kathmandu,27.716666666666665,85.31666700000001,2020-05-08,19
Uganda,Kampala,0.31666666666666665,32.55,2020-05-08,19
South Sudan,Juba,4.85,31.616667,2020-05-09,19
Central African Republic,Bangui,4.366666666666666,18.583333,2020-05-09,19
Guyana,Georgetown,6.8,-58.15,2020-05-11,20
Mozambique,Maputo,-25.95,32.583333,2020-05-12,20
Mongolia,Ulaanbaatar,47.91666666666666,106.91666699999999,2020-05-16,20
Yemen,Sanaa,15.35,44.2,2020-05-16,20
Cayman Islands,George Town,19.3,-81.383333,2020-05-20,21
Mauritania,Nouakchott,18.066666666666666,-15.966667000000001,2020-05-21,21
Nicaragua,Managua,12.133333333333333,-86.25,2020-05-23,21
Malawi,Lilongwe,-13.966666666666667,33.783333,2020-05-26,22
Syria,Damascus,33.5,36.3,2020-05-26,22
Zimbabwe,Harare,-17.816666666666666,31.033333000000002,2020-05-28,22
Libya,Tripoli,32.88333333333333,13.166667000000002,2020-05-29,22
Bahamas,Nassau,25.08333333333333,-77.35,2020-05-29,22
Comoros,Moroni,-11.7,43.233333,2020-05-31,22
Suriname,Paramaribo,5.833333333333332,-55.166667000000004,2020-06-08,24
Angola,Luanda,-8.833333333333334,13.216667000000001,2020-06-11,24
Eritrea,Asmara,15.333333333333336,38.933333000000005,2020-06-16,25
Burundi,Bujumbura,-3.3666666666666667,29.35,2020-06-16,25
Monaco,Monaco,43.73333333333333,7.4166669999999995,2020-06-23,26
Botswana,Gaborone,-24.63333333333333,25.9,2020-06-27,26
Namibia,Windhoek,-22.566666666666666,17.083333,2020-06-27,26
Western Sahara,El-Aaiún,27.153610999999998,-13.203332999999999,2020-06-28,26
Lesotho,Maseru,-29.316666666666666,27.483333000000002,2020-07-10,28
Barbados,Bridgetown,13.1,-59.61666700000001,2020-07-12,28
Seychelles,Victoria,-4.616666666666667,55.45,2020-07-21,30
Bhutan,Thimphu,27.466666666666665,89.633333,2020-07-30,31
Turks and Caicos Islands,Grand Turk,21.466666666666665,-71.133333,2020-07-31,31
Papua New Guinea,Port Moresby,-9.45,147.183333,2020-08-03,32
Belize,Belmopan,17.25,-88.766667,2020-08-07,32
French Polynesia,Papeete,-17.533333333333335,-149.566667,2020-08-12,33
